index;id;name;description;latitude;longitude;referenced_stops
0;mdb_stop_33_768071_N_118_192921_E;Downtown Long Beach Station;;33.768071;-118.192921;[{'stop_id': '80101', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
1;mdb_stop_33_772258_N_118_193700_E;Pacific Ave Station;;33.772258;-118.1937;[{'stop_id': '80102', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
2;mdb_stop_33_781830_N_118_189384_E;Anaheim Street Station;;33.78183;-118.189384;[{'stop_id': '80105', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
3;mdb_stop_33_789090_N_118_189382_E;Pacific Coast Hwy Station;;33.78909;-118.189382;[{'stop_id': '80106', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
4;mdb_stop_33_807079_N_118_189834_E;Willow Street Station;;33.807079;-118.189834;[{'stop_id': '80107', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
5;mdb_stop_33_819865_N_118_196090_E;Wardlow Station;;33.819865;-118.19609;[{'stop_id': '80108', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
6;mdb_stop_33_848222_N_118_211017_E;Del Amo Station;;33.848222;-118.211017;[{'stop_id': '80109', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
7;mdb_stop_33_876082_N_118_222503_E;Artesia Station;;33.876082;-118.222503;[{'stop_id': '80110', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
8;mdb_stop_33_897490_N_118_224249_E;Compton Station;;33.89749;-118.224249;[{'stop_id': '80111', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
9;mdb_stop_33_928048_N_118_237555_E;Willowbrook - Rosa Parks Station - Metro A Line (Blue);;33.928048;-118.237555;[{'stop_id': '80112', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
10;mdb_stop_33_942220_N_118_243159_E;103rd Street / Watts Towers  Station;;33.94222;-118.243159;[{'stop_id': '80113', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
11;mdb_stop_33_959611_N_118_243205_E;Firestone Station;;33.959611;-118.243205;[{'stop_id': '80114', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
12;mdb_stop_33_973740_N_118_243271_E;Florence Station;;33.97374;-118.243271;[{'stop_id': '80115', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
13;mdb_stop_33_988760_N_118_243398_E;Slauson Station;;33.98876;-118.243398;[{'stop_id': '80116', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
14;mdb_stop_34_002920_N_118_243303_E;Vernon Station;;34.00292;-118.243303;[{'stop_id': '80117', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
15;mdb_stop_34_019650_N_118_243084_E;Washington Station;;34.01965;-118.243084;[{'stop_id': '80118', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
16;mdb_stop_34_026807_N_118_255505_E;San Pedro Street Station;;34.026807;-118.255505;[{'stop_id': '80119', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
17;mdb_stop_34_033155_N_118_269333_E;Grand / LATTC Station;;34.033155;-118.269333;[{'stop_id': '80120', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
18;mdb_stop_34_040735_N_118_266118_E;Pico Station;;34.040735;-118.266118;[{'stop_id': '80121', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
19;mdb_stop_34_048610_N_118_258822_E;7th Street / Metro Center Station - Metro A Line (Blue) & E Line (Expo);;34.04861;-118.258822;[{'stop_id': '80122', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
20;mdb_stop_34_029112_N_118_273603_E;LATTC / Ortho Institute Station;;34.029112;-118.273603;[{'stop_id': '80123', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
21;mdb_stop_34_022123_N_118_278118_E;Jefferson / USC Station;;34.022123;-118.278118;[{'stop_id': '80124', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
22;mdb_stop_34_018227_N_118_285734_E;Expo Park / USC Station;;34.018227;-118.285734;[{'stop_id': '80125', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
23;mdb_stop_34_018245_N_118_291540_E;Expo / Vermont Station;;34.018245;-118.29154;[{'stop_id': '80126', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
24;mdb_stop_34_018331_N_118_308910_E;Expo / Western Station;;34.018331;-118.30891;[{'stop_id': '80127', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
25;mdb_stop_34_022526_N_118_335078_E;Expo / Crenshaw Station;;34.022526;-118.335078;[{'stop_id': '80128', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
26;mdb_stop_34_023981_N_118_346095_E;Farmdale Station;;34.023981;-118.346095;[{'stop_id': '80129', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
27;mdb_stop_34_024803_N_118_355159_E;Expo / La Brea / Ethel Bradley Station;;34.024803;-118.355159;[{'stop_id': '80130', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
28;mdb_stop_34_026355_N_118_372120_E;La Cienega / Jefferson Station;;34.026355;-118.37212;[{'stop_id': '80131', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
29;mdb_stop_34_027896_N_118_388986_E;Culver City Station;;34.027896;-118.388986;[{'stop_id': '80132', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
30;mdb_stop_34_029323_N_118_404255_E;Palms Station;;34.029323;-118.404255;[{'stop_id': '80133', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
31;mdb_stop_34_036816_N_118_424576_E;Westwood / Rancho Park Station;;34.036816;-118.424576;[{'stop_id': '80134', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
32;mdb_stop_34_035408_N_118_434234_E;Expo / Sepulveda Station;;34.035408;-118.434234;[{'stop_id': '80135', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
33;mdb_stop_34_031705_N_118_452896_E;Expo / Bundy Station;;34.031705;-118.452896;[{'stop_id': '80136', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
34;mdb_stop_34_027995_N_118_469120_E;26th Street / Bergamot Station;;34.027995;-118.46912;[{'stop_id': '80137', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
35;mdb_stop_34_023155_N_118_480372_E;17th Street / SMC Station;;34.023155;-118.480372;[{'stop_id': '80138', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
36;mdb_stop_34_014010_N_118_491384_E;Downtown Santa Monica Station;;34.01401;-118.491384;[{'stop_id': '80139', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}, {'stop_id': '224', 'dataset_id': 'Q22304', 'source_id': 'Q1856'}]
37;mdb_stop_33_768740_N_118_189362_E;1st Street Station;;33.76874;-118.189362;[{'stop_id': '80153', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
38;mdb_stop_33_773598_N_118_189412_E;5th Street Station;;33.773598;-118.189412;[{'stop_id': '80154', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
39;mdb_stop_34_168504_N_118_376808_E;North Hollywood Station;;34.168504;-118.376808;[{'stop_id': '80201', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
40;mdb_stop_34_140002_N_118_362699_E;Universal / Studio City Station;;34.140002;-118.362699;[{'stop_id': '80202', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
41;mdb_stop_34_101547_N_118_338549_E;Hollywood / Highland Station;;34.101547;-118.338549;[{'stop_id': '80203', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
42;mdb_stop_34_101630_N_118_325180_E;Hollywood / Vine Station;;34.10163;-118.32518;[{'stop_id': '80204', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
43;mdb_stop_34_101737_N_118_308117_E;Hollywood / Western Station;;34.101737;-118.308117;[{'stop_id': '80205', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
44;mdb_stop_34_097708_N_118_291756_E;Vermont / Sunset Station;;34.097708;-118.291756;[{'stop_id': '80206', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
45;mdb_stop_34_089910_N_118_291730_E;Vermont / Santa Monica Station;;34.08991;-118.29173;[{'stop_id': '80207', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
46;mdb_stop_34_076526_N_118_291686_E;Vermont / Beverly Station;;34.076526;-118.291686;[{'stop_id': '80208', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
47;mdb_stop_34_062701_N_118_290082_E;Wilshire / Vermont Station;;34.062701;-118.290082;[{'stop_id': '80209', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
48;mdb_stop_34_056368_N_118_274879_E;Westlake / MacArthur Park Station;;34.056368;-118.274879;[{'stop_id': '80210', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
49;mdb_stop_34_048634_N_118_258682_E;7th Street / Metro Center Station - Metro Red & Purple Lines;;34.048634;-118.258682;[{'stop_id': '80211', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
50;mdb_stop_34_049316_N_118_251259_E;Pershing Square Station;;34.049316;-118.251259;[{'stop_id': '80212', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
51;mdb_stop_34_054900_N_118_246057_E;Civic Center / Grand Park Station;;34.0549;-118.246057;[{'stop_id': '80213', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
52;mdb_stop_34_056197_N_118_234249_E;Union Station - Metro Red & Purple Lines;;34.056197;-118.234249;[{'stop_id': '80214', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
53;mdb_stop_34_061753_N_118_301458_E;Wilshire / Normandie Station;;34.061753;-118.301458;[{'stop_id': '80215', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
54;mdb_stop_34_061689_N_118_308756_E;Wilshire / Western Station;;34.061689;-118.308756;[{'stop_id': '80216', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
55;mdb_stop_33_894640_N_118_369196_E;Redondo Beach Station;;33.89464;-118.369196;[{'stop_id': '80301', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
56;mdb_stop_33_905299_N_118_383113_E;Douglas Station;;33.905299;-118.383113;[{'stop_id': '80302', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
57;mdb_stop_33_916063_N_118_386539_E;El Segundo Station;;33.916063;-118.386539;[{'stop_id': '80303', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
58;mdb_stop_33_923200_N_118_387572_E;Mariposa Station;;33.9232;-118.387572;[{'stop_id': '80304', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
59;mdb_stop_33_929621_N_118_377134_E;Aviation / LAX Station;;33.929621;-118.377134;[{'stop_id': '80305', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
60;mdb_stop_33_933408_N_118_351602_E;Hawthorne / Lennox Station;;33.933408;-118.351602;[{'stop_id': '80306', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
61;mdb_stop_33_925201_N_118_326550_E;Crenshaw Station;;33.925201;-118.32655;[{'stop_id': '80307', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
62;mdb_stop_33_928683_N_118_291733_E;Vermont / Athens Station;;33.928683;-118.291733;[{'stop_id': '80308', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
63;mdb_stop_33_928714_N_118_281100_E;Harbor Freeway Station;;33.928714;-118.2811;[{'stop_id': '80309', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
64;mdb_stop_33_927465_N_118_265217_E;Avalon Station;;33.927465;-118.265217;[{'stop_id': '80310', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
65;mdb_stop_33_928258_N_118_238052_E;Willowbrook - Rosa Parks Station - Metro Green Line;;33.928258;-118.238052;[{'stop_id': '80311', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
66;mdb_stop_33_924880_N_118_209945_E;Long Beach Blvd Station;;33.92488;-118.209945;[{'stop_id': '80312', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
67;mdb_stop_33_913070_N_118_140600_E;Lakewood Blvd Station;;33.91307;-118.1406;[{'stop_id': '80313', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
68;mdb_stop_33_914033_N_118_104717_E;Norwalk Station;;33.914033;-118.104717;[{'stop_id': '80314', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
69;mdb_stop_34_033398_N_118_154469_E;Atlantic Station;;34.033398;-118.154469;[{'stop_id': '80401', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
70;mdb_stop_34_033364_N_118_161206_E;East LA Civic Center Station;;34.033364;-118.161206;[{'stop_id': '80402', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
71;mdb_stop_34_033319_N_118_168140_E;Maravilla Station;;34.033319;-118.16814;[{'stop_id': '80403', 'dataset_id': 'Q22306', 'source_id': 'Q22305'}]
